name,nation,position,age,matches_played,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,team_name
MichaL Skóraś,Poland,FORWARD,25,5.0,118.0,0.0,0.0,0.0,2.0,0.0,Club Brugge
Tiago Santos,Portugal,DEFENDER,22,2.0,116.0,0.0,0.0,0.0,0.0,0.0,Lille
Jeffrey Schlupp,Germany,MIDFIELDER,32,2.0,115.0,0.0,0.0,0.0,0.0,0.0,Celtic
César Azpilicueta,Spain,DEFENDER,35,2.0,112.0,0.0,0.0,0.0,1.0,0.0,Atleti
Jahmai Simpson-Pusey,England,DEFENDER,19,2.0,112.0,0.0,0.0,0.0,0.0,0.0,Man City
George Ilenikhena,Nigeria,FORWARD,18,6.0,111.0,2.0,0.0,0.0,0.0,0.0,Monaco
Ramiz Zerrouki,Algeria,MIDFIELDER,26,4.0,111.0,0.0,0.0,0.0,0.0,0.0,Feyenoord
Július Szöke,Slovakia,MIDFIELDER,29,3.0,110.0,0.0,0.0,0.0,0.0,0.0,S. Bratislava
Jan-Niklas Beste,Germany,DEFENDER,26,5.0,109.0,0.0,2.0,0.0,0.0,0.0,Benfica
Arthur,Brazil,DEFENDER,22,5.0,108.0,0.0,0.0,0.0,0.0,0.0,Leverkusen
James McAtee,England,MIDFIELDER,22,5.0,107.0,1.0,0.0,0.0,1.0,0.0,Man City
Federico Chiesa,Italy,MIDFIELDER,27,3.0,107.0,0.0,1.0,0.0,0.0,0.0,Liverpool
Isaac Babadi,Netherlands,MIDFIELDER,20,4.0,104.0,0.0,1.0,0.0,2.0,0.0,PSV
Martin Terrier,France,FORWARD,28,4.0,104.0,0.0,1.0,0.0,0.0,0.0,Leverkusen
Sacha Boey,France,DEFENDER,24,3.0,103.0,0.0,0.0,0.0,0.0,0.0,Bayern München
Noah Okafor,Switzerland,FORWARD,24,5.0,102.0,0.0,1.0,0.0,0.0,0.0,Milan
Renato Veiga,Portugal,DEFENDER,21,2.0,102.0,0.0,0.0,0.0,0.0,0.0,Juventus
Ross Barkley,England,MIDFIELDER,31,6.0,99.0,1.0,0.0,0.0,1.0,0.0,Aston Villa
Jhon Solís,Colombia,MIDFIELDER,20,5.0,99.0,0.0,0.0,0.0,0.0,0.0,Girona
Issa Kaboré,Burkina Faso,DEFENDER,23,2.0,98.0,0.0,0.0,0.0,2.0,0.0,Benfica
Erencan Yardımcı,Türkiye,FORWARD,23,5.0,97.0,0.0,0.0,0.0,1.0,0.0,Sturm Graz
Omar Marmoush,Egypt,FORWARD,26,2.0,96.0,0.0,0.0,0.0,0.0,0.0,Man City
Bremer,Brazil,DEFENDER,28,2.0,96.0,0.0,0.0,0.0,0.0,0.0,Juventus
Cristian Portu,Spain,MIDFIELDER,32,5.0,94.0,0.0,0.0,0.0,2.0,0.0,Girona
Folarin Balogun,USA,FORWARD,23,3.0,93.0,0.0,0.0,0.0,1.0,0.0,Monaco
Ameen Al-Dakhil,Belgium,DEFENDER,23,3.0,93.0,0.0,0.0,0.0,0.0,0.0,Stuttgart
Benjamin Rollheiser,Argentina,FORWARD,25,6.0,92.0,0.0,0.0,0.0,0.0,0.0,Benfica
Chris-Kévin Nadje,Ivory Coast,MIDFIELDER,23,3.0,91.0,0.0,0.0,0.0,0.0,1.0,Feyenoord
Mathys Tel,France,FORWARD,20,3.0,91.0,0.0,0.0,0.0,0.0,0.0,Bayern München
Petar Ratkov,Serbia,FORWARD,21,4.0,90.0,0.0,0.0,0.0,0.0,0.0,Salzburg
Milan Rodić,Serbia,DEFENDER,34,3.0,90.0,0.0,0.0,0.0,1.0,0.0,Crvena Zvezda
Nico Gonzalez,Spain,MIDFIELDER,23,1.0,90.0,1.0,0.0,0.0,1.0,0.0,Man City
Antal Yaakobishvili,Hungary,DEFENDER,20,1.0,90.0,0.0,0.0,0.0,1.0,0.0,Girona
Rui Patrício,Portugal,GOALKEEPER,37,1.0,90.0,0.0,0.0,0.0,0.0,0.0,Atalanta
Luck Zogbé,Ivory Coast,DEFENDER,20,1.0,90.0,0.0,0.0,0.0,0.0,0.0,Brest
Grégoire Coudert,France,GOALKEEPER,26,1.0,90.0,0.0,0.0,0.0,0.0,0.0,Brest
Federico Ravaglia,Italy,GOALKEEPER,25,1.0,90.0,0.0,0.0,0.0,0.0,0.0,Bologna
Abdukodir Khusanov,Uzbekistan,DEFENDER,21,1.0,90.0,0.0,0.0,0.0,0.0,0.0,Man City
Tygo Land,Netherlands,MIDFIELDER,19,1.0,90.0,0.0,0.0,0.0,0.0,0.0,PSV
Alexander Meyer,Germany,GOALKEEPER,34,1.0,90.0,0.0,0.0,0.0,0.0,0.0,B. Dortmund
Adam Ševínský,Czechia,DEFENDER,20,1.0,90.0,0.0,0.0,0.0,0.0,0.0,Sparta Praha
James McConnell,England,MIDFIELDER,20,1.0,90.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Maurits Kjærgaard,Denmark,MIDFIELDER,21,1.0,90.0,0.0,0.0,0.0,0.0,0.0,Salzburg
Mathias Ross,Denmark,DEFENDER,24,1.0,90.0,0.0,0.0,0.0,0.0,0.0,Sparta Praha
Daniel Peretz,Israel,GOALKEEPER,24,1.0,90.0,0.0,0.0,0.0,0.0,0.0,Bayern München
Josep Martínez,Spain,GOALKEEPER,26,1.0,90.0,0.0,0.0,0.0,0.0,0.0,Inter
Pau López,Spain,GOALKEEPER,30,1.0,90.0,0.0,0.0,0.0,0.0,0.0,Girona
Rodri,Spain,MIDFIELDER,28,1.0,90.0,0.0,0.0,0.0,0.0,0.0,Man City
Joël Drommel,Netherlands,GOALKEEPER,28,1.0,90.0,0.0,0.0,0.0,0.0,0.0,PSV
Fabian Bredlow,Germany,GOALKEEPER,30,1.0,90.0,0.0,0.0,0.0,0.0,0.0,Stuttgart
Neto,Brazil,GOALKEEPER,35,1.0,90.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Marc-André ter Stegen,Germany,GOALKEEPER,33,1.0,90.0,0.0,0.0,0.0,0.0,0.0,Barcelona
Lucas Hernandez,France,DEFENDER,29,3.0,87.0,0.0,0.0,0.0,0.0,0.0,Paris
Markus Solbakken,Norway,MIDFIELDER,24,4.0,86.0,0.0,0.0,0.0,0.0,0.0,Sparta Praha
Luka Ilić,Serbia,MIDFIELDER,25,5.0,85.0,0.0,0.0,0.0,0.0,0.0,Crvena Zvezda
André Silva,Portugal,FORWARD,29,4.0,85.0,0.0,0.0,0.0,0.0,0.0,Leipzig
Jota,Portugal,FORWARD,26,2.0,85.0,0.0,0.0,0.0,0.0,0.0,Celtic
Newertton,Brazil,MIDFIELDER,19,4.0,84.0,0.0,0.0,0.0,0.0,0.0,Shakhtar
Jordan Amavi,France,DEFENDER,31,1.0,84.0,0.0,0.0,0.0,0.0,0.0,Brest
Leandro Morgalla,Germany,DEFENDER,20,3.0,83.0,0.0,0.0,0.0,0.0,0.0,Salzburg
Jayden Danns,England,FORWARD,19,1.0,83.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Calvin Stengs,Netherlands,MIDFIELDER,26,3.0,80.0,0.0,0.0,0.0,0.0,0.0,Feyenoord
